cluster	noCat	PotentialChimeric	comp	incomp	classifs (nbTEs)
82	0	1	0	1	DTX (1)
83	0	1	0	1	RLX (1)
84	0	0	0	0	LARD (1)
85	0	1	1	0	RLX (1)
86	0	0	0	1	DMX (1)
87	0	1	0	1	DTX (1)
88	0	0	0	1	RLX (1)
89	0	0	0	0	LARD (1)
90	0	0	0	0	LARD (1)
91	0	1	0	1	RYX (1)
92	0	0	0	1	DTX (1)
93	0	0	0	1	DMX (1)
94	0	0	1	0	RLX (1)
95	0	0	0	0	LARD (1)
96	0	1	0	0	LARD (1)
97	0	1	0	0	LARD (1)
98	0	0	0	1	RIX (1)
99	0	1	0	1	RLX (1)
100	0	1	0	1	RYX (1)
101	0	0	1	0	RLX (1)
102	0	0	0	0	PotentialHostGene (1)
103	0	1	0	1	DTX (1)
104	0	1	1	0	RIX (1)
105	0	1	0	0	LARD (1)
106	0	0	0	0	LARD (1)
107	0	1	0	1	DTX (1)
108	0	1	0	1	DTX (1)
109	0	0	0	1	RLX (1)
110	0	0	1	0	RLX (1)
111	0	0	0	1	RLX (1)
112	0	0	1	0	RLX (1)
113	0	0	0	0	LARD (1)
114	0	1	0	1	RLX (1)
115	0	0	0	0	PotentialHostGene (1)
116	0	0	0	0	PotentialHostGene (1)
117	0	1	0	1	RLX (1)
118	0	1	0	1	RLX (1)
119	0	0	0	1	RLX (1)
120	0	1	1	0	RLX (1)
121	0	1	0	1	RLX (1)
122	0	1	0	1	RYX (1)
123	0	1	0	0	LARD (1)
124	0	1	0	1	RLX (1)
125	0	1	0	1	RLX (1)
126	0	1	0	1	RLX (1)
127	0	1	0	1	RLX (1)
128	0	1	0	1	RLX (1)
129	0	0	0	0	LARD (1)
130	0	0	0	0	MITE (1)
131	0	0	0	1	DTX (1)
132	0	0	0	0	LARD (1)
133	0	1	0	1	DTX (1)
134	0	0	0	0	LARD (1)
135	0	0	0	1	RLX (1)
136	0	1	0	1	RLX (1)
137	1	0	0	0	
138	0	1	0	1	RYX (1)
139	0	0	1	0	RLX (1)
140	0	1	0	0	LARD (1)
141	0	1	0	1	RYX (1)
142	0	0	0	1	RLX (1)
143	0	1	0	1	RYX (1)
144	0	0	0	1	RLX (1)
145	0	1	0	1	DTX (1)
146	0	1	0	1	DTX (1)
147	0	1	0	1	RLX (1)
148	0	0	0	1	DTX (1)
149	0	0	0	1	DTX (1)
150	0	1	0	1	RLX (1)
151	0	1	0	0	LARD (1)
152	0	0	0	0	RXX (1)
153	0	0	0	1	RLX (1)
154	0	1	0	0	LARD (1)
155	0	0	0	0	LARD (1)
156	0	0	0	1	DTX (1)
157	0	0	0	0	RXX (1)
158	0	0	0	1	RLX (1)
159	0	0	1	0	RLX (1)
160	0	0	0	1	RLX (1)
161	0	0	1	0	RLX (1)
162	0	0	0	1	RLX (1)
163	0	0	0	0	LARD (1)
164	0	0	0	1	DHX (1)
165	0	1	0	1	RYX (1)
166	0	0	0	0	PotentialHostGene (1)
167	0	1	0	1	RLX (1)
168	0	0	0	1	RLX (1)
169	0	1	0	1	RYX (1)
170	0	0	0	1	RLX (1)
171	0	0	1	0	RLX (1)
172	0	0	1	0	RLX (1)
173	0	1	0	1	RLX (1)
174	0	0	0	1	RLX (1)
175	0	1	0	1	DTX (1)
176	0	0	0	1	RLX (1)
177	0	1	0	1	RLX (1)
178	0	0	0	1	RLX (1)
179	0	0	1	0	DHX (1)
180	0	1	0	1	RLX (1)
181	0	0	1	0	RLX (1)
182	0	0	0	0	LARD (1)
183	0	0	0	1	RLX (1)
184	0	1	0	0	MITE (1)
185	0	0	0	1	RLX (1)
186	1	0	0	0	
187	0	0	0	1	RLX (1)
188	0	0	0	1	DTX (1)
189	0	0	1	0	RLX (1)
190	0	0	0	1	RLX (1)
191	0	1	0	1	RLX (1)
192	0	1	0	1	DTX (1)
193	0	1	0	1	RLX (1)
194	0	1	0	1	DTX (1)
195	0	1	0	1	RLX (1)
196	0	1	0	1	RLX (1)
197	0	1	0	1	DTX (1)
198	0	1	0	1	DTX (1)
199	0	0	0	1	RLX (1)
200	0	0	1	0	RIX (1)
201	0	0	0	0	LARD (1)
202	0	0	0	1	RLX (1)
203	0	0	1	0	RIX (1)
204	0	0	0	1	RLX (1)
205	0	1	0	1	DTX (1)
206	0	1	0	1	RLX (1)
207	0	0	1	0	RIX (1)
208	0	1	0	1	RYX (1)
209	0	1	0	1	RYX (1)
210	0	0	1	0	RLX (1)
211	0	0	0	1	RLX (1)
212	0	0	0	0	LARD (1)
213	0	0	1	0	RLX (1)
214	0	0	0	1	RLX (1)
215	0	0	0	1	RLX (1)
216	0	0	0	1	RLX (1)
217	0	0	1	0	RLX (1)
218	0	0	0	0	PotentialHostGene (1)
219	0	0	1	0	RLX (1)
220	0	0	0	1	RLX (1)
221	0	1	1	0	RLX (1)
222	0	1	0	1	DTX (1)
223	0	0	1	0	RLX (1)
224	0	0	0	1	RLX (1)
225	0	0	0	1	RLX (1)
226	0	1	0	1	RLX (1)
227	0	0	0	1	RLX (1)
228	1	0	0	0	
229	0	0	1	0	RLX (1)
230	0	0	0	1	RLX (1)
231	0	0	0	0	PotentialHostGene (1)
232	0	0	0	1	RLX (1)
233	0	0	1	0	RLX (1)
234	0	0	0	1	RLX (1)
235	0	1	1	0	RLX (1)
236	0	0	0	0	LARD (1)
237	0	0	1	0	RLX (1)
238	0	1	0	0	LARD (1)
239	0	1	0	1	RLX (1)
240	0	0	0	1	RLX (1)
241	0	0	0	1	RLX (1)
242	0	0	1	0	RLX (1)
243	0	0	1	0	RLX (1)
244	0	0	0	1	RLX (1)
245	0	0	0	1	RLX (1)
246	0	0	1	0	RLX (1)
247	0	0	0	1	RLX (1)
248	0	0	1	0	RLX (1)
249	0	0	0	1	DTX (1)
250	0	0	0	1	RIX (1)
251	0	0	0	0	MITE (1)
252	1	0	0	0	
253	0	0	1	0	RIX (1)
254	0	0	0	0	RXX (1)
255	0	0	0	0	PotentialHostGene (1)
256	0	0	0	0	PotentialHostGene (1)
257	0	0	0	0	LARD (1)
258	0	1	0	1	RIX (1)
259	0	0	0	1	RLX (1)
260	0	1	0	1	DTX (1)
261	0	0	0	0	LARD (1)
262	0	1	1	0	RIX (1)
263	0	0	1	0	RLX (1)
264	0	1	0	1	DTX (1)
265	0	1	0	1	DTX (1)
266	0	0	0	1	RLX (1)
267	0	0	0	1	RLX (1)
268	0	0	0	0	PotentialHostGene (1)
269	0	0	0	1	RLX (1)
270	0	0	0	0	LARD (1)
271	0	1	0	1	DTX (1)
272	0	0	0	0	PotentialHostGene (1)
273	0	1	0	1	DTX (1)
274	1	0	0	0	
275	0	0	0	1	DTX (1)
276	0	1	0	1	RLX (1)
277	0	0	0	1	RLX (1)
278	0	0	0	1	RLX (1)
279	0	0	1	0	RIX (1)
280	0	0	0	1	DTX (1)
281	0	1	0	1	DTX (1)
282	0	1	0	1	DTX (1)
283	1	0	0	0	
284	0	0	0	1	RLX (1)
285	0	0	0	1	DTX (1)
286	0	0	1	0	DTX (1)
287	0	0	1	0	DTX (1)
288	0	0	1	0	DTX (1)
289	0	0	0	0	LARD (1)
290	0	0	1	0	DTX (1)
291	0	0	0	1	DTX (1)
292	0	0	0	1	DTX (1)
293	0	0	0	0	LARD (1)
294	0	1	0	1	DTX (1)
295	0	0	0	0	LARD (1)
296	0	0	1	0	RIX (1)
297	0	0	1	0	DTX (1)
298	0	1	1	0	DTX (1)
299	0	1	0	1	DTX (1)
300	0	0	1	0	DTX (1)
301	0	0	0	0	LARD (1)
302	0	0	1	0	DTX (1)
303	0	0	0	1	RLX (1)
304	0	0	0	1	DTX (1)
305	0	0	0	1	RLX (1)
306	1	0	0	0	
307	0	0	0	0	LARD (1)
308	0	0	0	1	RLX (1)
309	0	0	0	1	DTX (1)
310	0	0	0	1	RLX (1)
311	1	0	0	0	
312	0	0	1	0	DTX (1)
313	0	0	0	1	RLX (1)
314	0	0	1	0	DTX (1)
315	0	0	0	1	DTX (1)
316	0	0	0	1	DTX (1)
317	1	0	0	0	
318	0	0	0	1	DTX (1)
319	0	0	1	0	DTX (1)
320	0	0	0	1	RIX (1)
321	0	0	0	0	PotentialHostGene (1)
322	0	0	1	0	RIX (1)
323	1	0	0	0	
324	0	0	0	1	RLX (1)
325	0	0	0	1	DTX (1)
326	0	0	0	0	LARD (1)
327	0	0	0	1	RLX (1)
328	0	0	0	0	LARD (1)
329	0	1	0	1	RIX (1)
330	1	0	0	0	
331	0	0	0	0	LARD (1)
332	0	0	0	0	LARD (1)
333	0	0	0	1	DTX (1)
334	1	0	0	0	
335	0	0	0	1	RLX (1)
336	0	0	0	1	DTX (1)
337	1	0	0	0	
338	0	0	0	1	DTX (1)
339	0	1	0	1	DTX (1)
340	0	0	0	1	DTX (1)
341	0	0	0	0	TRIM (1)
342	0	0	0	1	RIX (1)
343	0	0	0	0	PotentialHostGene (1)
344	0	0	0	1	DTX (1)
345	0	0	0	1	DTX (1)
346	0	0	0	1	RLX (1)
347	0	0	0	0	PotentialHostGene (1)
348	0	0	0	1	RLX (1)
349	0	0	0	1	RLX (1)
350	0	0	0	1	DTX (1)
351	0	0	1	0	DTX (1)
352	0	0	0	1	DTX (1)
353	0	0	1	0	DTX (1)
354	0	0	1	0	DTX (1)
355	1	0	0	0	
356	0	0	0	1	DTX (1)
357	0	0	1	0	DTX (1)
358	0	0	1	0	DTX (1)
359	0	0	1	0	DTX (1)
360	0	0	0	1	DTX (1)
361	0	0	1	0	DTX (1)
362	0	0	0	1	DTX (1)
363	1	0	0	0	
364	1	0	0	0	
365	1	0	0	0	
366	0	0	0	1	DTX (1)
367	0	0	0	1	DTX (1)
368	1	0	0	0	
369	0	0	0	1	DTX (1)
370	0	0	0	0	PotentialHostGene (1)
371	0	0	0	0	MITE (1)
372	0	0	0	1	DTX (1)
373	0	0	0	1	DTX (1)
374	0	0	0	1	RLX (1)
375	0	0	0	1	DTX (1)
376	0	0	0	1	DTX (1)
377	0	0	0	1	DTX (1)
378	0	0	0	1	DTX (1)
379	0	0	1	0	DTX (1)
380	0	0	0	1	DTX (1)
381	1	0	0	0	
382	0	0	0	1	DTX (1)
383	0	0	0	1	DTX (1)
384	0	0	1	0	DTX (1)
385	0	0	1	0	DTX (1)
386	0	0	1	0	DTX (1)
387	0	0	1	0	DTX (1)
388	0	0	0	1	DTX (1)
389	0	0	1	0	DTX (1)
390	0	0	0	1	DTX (1)
391	0	0	1	0	DTX (1)
392	0	0	0	1	DTX (1)
393	0	0	0	1	DTX (1)
394	0	0	1	0	DTX (1)
395	1	0	0	0	
396	0	1	0	1	DTX (1)
397	1	0	0	0	
398	0	1	0	1	DTX (1)
399	0	0	0	0	TRIM (1)
400	0	0	1	0	DTX (1)
401	0	0	0	1	DTX (1)
402	1	0	0	0	
403	0	0	0	1	RLX (1)
404	0	0	0	1	RLX (1)
405	1	0	0	0	
406	0	1	0	1	RLX (1)
407	0	0	0	0	MITE (1)
408	0	0	0	1	DTX (1)
409	1	0	0	0	
410	0	0	0	0	TRIM (1)
411	0	0	0	1	DTX (1)
412	0	0	0	1	RLX (1)
413	0	0	0	1	DTX (1)
414	1	0	0	0	
415	0	0	0	1	DTX (1)
416	0	0	0	0	PotentialHostGene (1)
417	0	0	0	0	TRIM (1)
418	0	0	0	0	LARD (1)
419	0	0	1	0	RIX (1)
420	1	0	0	0	
421	0	0	0	0	LARD (1)
422	0	0	0	1	DTX (1)
423	0	0	0	0	TRIM (1)
424	0	0	0	0	LARD (1)
425	0	0	0	1	DTX (1)
426	0	0	0	1	RIX (1)
427	0	0	0	1	DTX (1)
428	1	0	0	0	
429	0	1	0	1	DTX (1)
430	0	0	1	0	DTX (1)
431	0	0	0	0	PotentialHostGene (1)
432	0	0	0	1	DTX (1)
433	0	0	0	0	PotentialHostGene (1)
434	0	0	0	0	TRIM (1)
435	0	0	0	1	DTX (1)
436	0	0	0	1	RLX (1)
437	0	0	0	0	TRIM (1)
438	0	0	0	0	MITE (1)
439	0	0	0	1	RLX (1)
440	1	0	0	0	
441	0	0	0	0	PotentialHostGene (1)
442	0	0	0	1	RLX (1)
443	0	0	0	1	DTX (1)
444	0	0	0	1	DTX (1)
445	0	0	0	1	RIX (1)
446	1	0	0	0	
447	0	0	0	1	RLX (1)
448	0	0	0	0	PotentialHostGene (1)
449	0	0	0	1	RLX (1)
450	0	0	0	1	DTX (1)
451	0	0	0	1	DTX (1)
452	0	0	0	1	DTX (1)
453	0	0	0	1	RLX (1)
454	0	0	0	1	DTX (1)
455	0	0	0	1	RIX (1)
456	0	0	0	1	DTX (1)
457	0	0	0	0	TRIM (1)
458	0	0	0	0	PotentialHostGene (1)
459	0	1	0	1	RSX (1)
460	0	0	0	0	PotentialHostGene (1)
461	0	0	0	1	RLX (1)
462	0	0	0	1	DTX (1)
463	0	0	0	1	RLX (1)
464	0	0	0	0	MITE (1)
465	0	0	0	0	MITE (1)
466	0	0	0	0	MITE (1)
467	0	0	0	1	DTX (1)
468	0	0	0	0	MITE (1)
469	0	0	0	0	MITE (1)
470	0	0	0	0	PotentialHostGene (1)
471	0	0	0	0	MITE (1)
472	0	0	0	0	MITE (1)
473	0	0	0	0	MITE (1)
474	0	0	0	0	MITE (1)
475	0	1	0	0	MITE (1)
476	0	0	0	0	MITE (1)
477	0	0	0	0	MITE (1)
478	0	0	0	0	MITE (1)
479	0	0	0	0	MITE (1)
480	0	0	0	0	MITE (1)
481	0	0	0	0	MITE (1)
482	0	0	0	0	MITE (1)
483	0	0	0	0	MITE (1)
484	0	0	0	0	PotentialHostGene (1)
485	0	0	0	0	MITE (1)
486	0	0	0	0	MITE (1)
487	0	0	0	0	MITE (1)
488	0	0	0	0	MITE (1)
489	0	0	0	0	MITE (1)
